Report Year,Geography,Notice of Adverse Benefit Determination Category,Appeal Count,Unresolved as of June 30,Decision Upheld,Decision Overturned
FY2021,Sutter-Yuba,Payment Denial Notice,0,0,0,0
FY2021,Sutter-Yuba,Delivery System Notice,0,0,0,0
FY2021,Sutter-Yuba,Modification Notice,0,0,0,0
FY2021,Sutter-Yuba,Termination Notice,0,0,0,0
FY2021,Sutter-Yuba,Authorization Delay Notice,0,0,0,0
FY2021,Sutter-Yuba,Timely Access Notice,0,0,0,0
FY2021,Sutter-Yuba,Financial Liability Notice,0,0,0,0
FY2021,Sutter-Yuba,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Sutter-Yuba,All,0,0,0,0
FY2021,Tehama,Denial Notice,0,0,0,0
FY2021,Tehama,Payment Denial Notice,0,0,0,0
FY2021,Tehama,Delivery System Notice,0,0,0,0
FY2021,Tehama,Modification Notice,0,0,0,0
FY2021,Tehama,Termination Notice,0,0,0,0
FY2021,Tehama,Authorization Delay Notice,0,0,0,0
FY2021,Tehama,Timely Access Notice,0,0,0,0
FY2021,Tehama,Financial Liability Notice,0,0,0,0
FY2021,Tehama,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Tehama,All,0,0,0,0
FY2021,Trinity,Denial Notice,0,0,0,0
FY2021,Trinity,Payment Denial Notice,0,0,0,0
FY2021,Trinity,Delivery System Notice,0,0,0,0
FY2021,Trinity,Modification Notice,0,0,0,0
FY2021,Trinity,Termination Notice,0,0,0,0
FY2021,Trinity,Authorization Delay Notice,0,0,0,0
FY2021,Trinity,Timely Access Notice,0,0,0,0
FY2021,Trinity,Financial Liability Notice,0,0,0,0
FY2021,Trinity,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Trinity,All,0,0,0,0
FY2021,Tulare,Denial Notice,4,0,2,2
FY2021,Tulare,Payment Denial Notice,0,0,0,0
FY2021,Tulare,Delivery System Notice,0,0,0,0
FY2021,Tulare,Modification Notice,0,0,0,0
FY2021,Tulare,Termination Notice,1,0,0,1
FY2021,Tulare,Authorization Delay Notice,0,0,0,0
FY2021,Tulare,Timely Access Notice,0,0,0,0
FY2021,Tulare,Financial Liability Notice,0,0,0,0
FY2021,Tulare,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Tulare,All,5,0,2,3
FY2021,Tuolumne,Denial Notice,1,0,1,0
FY2021,Tuolumne,Payment Denial Notice,0,0,0,0
FY2021,Tuolumne,Delivery System Notice,2,0,2,0
FY2021,Tuolumne,Modification Notice,0,0,0,0
FY2021,Tuolumne,Termination Notice,0,0,0,0
FY2021,Tuolumne,Authorization Delay Notice,0,0,0,0
FY2021,Tuolumne,Timely Access Notice,0,0,0,0
FY2021,Tuolumne,Financial Liability Notice,0,0,0,0
FY2021,Tuolumne,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Tuolumne,All,3,0,3,0
FY2021,Ventura,Denial Notice,0,0,0,0
FY2021,Ventura,Payment Denial Notice,0,0,0,0
FY2021,Ventura,Delivery System Notice,2,0,1,1
FY2021,Ventura,Modification Notice,0,0,0,0
FY2021,Ventura,Termination Notice,2,0,0,2
FY2021,Ventura,Authorization Delay Notice,0,0,0,0
FY2021,Ventura,Timely Access Notice,0,0,0,0
FY2021,Ventura,Financial Liability Notice,0,0,0,0
FY2021,Ventura,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Ventura,All,4,0,1,3
FY2021,Yolo,Denial Notice,2,1,0,1
FY2021,Yolo,Payment Denial Notice,7,0,2,5
FY2021,Yolo,Delivery System Notice,0,0,0,0
FY2021,Yolo,Modification Notice,0,0,0,0
FY2021,Yolo,Termination Notice,1,0,0,1
FY2021,Yolo,Authorization Delay Notice,0,0,0,0
FY2021,Yolo,Timely Access Notice,0,0,0,0
FY2021,Yolo,Financial Liability Notice,0,0,0,0
FY2021,Yolo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY2021,Yolo,All,10,1,2,7
FY1920,State,Denial Notice,100,1,75,24
FY1920,State,Payment Denial Notice,1211,10,679,522
FY1920,State,Delivery System Notice,28,0,16,12
FY1920,State,Modification Notice,5,0,3,2
FY1920,State,Termination Notice,73,1,26,46
FY1920,State,Authorization Delay Notice,0,0,0,0
FY1920,State,Timely Access Notice,7,0,0,7
FY1920,State,Financial Liability Notice,0,0,0,0
FY1920,State,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,State,All,1424,12,799,613
FY1920,Alameda,Denial Notice,3,0,2,1
FY1920,Alameda,Payment Denial Notice,0,0,0,0
FY1920,Alameda,Delivery System Notice,0,0,0,0
FY1920,Alameda,Modification Notice,0,0,0,0
FY1920,Alameda,Termination Notice,0,0,0,0
FY1920,Alameda,Authorization Delay Notice,0,0,0,0
FY1920,Alameda,Timely Access Notice,0,0,0,0
FY1920,Alameda,Financial Liability Notice,0,0,0,0
FY1920,Alameda,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Alameda,All,3,0,2,1
FY1920,Alpine,Denial Notice,0,0,0,0
FY1920,Alpine,Payment Denial Notice,0,0,0,0
FY1920,Alpine,Delivery System Notice,0,0,0,0
FY1920,Alpine,Modification Notice,0,0,0,0
FY1920,Alpine,Termination Notice,0,0,0,0
FY1920,Alpine,Authorization Delay Notice,0,0,0,0
FY1920,Alpine,Timely Access Notice,0,0,0,0
FY1920,Alpine,Financial Liability Notice,0,0,0,0
FY1920,Alpine,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Alpine,All,0,0,0,0
FY1920,Amador,Denial Notice,0,0,0,0
FY1920,Amador,Payment Denial Notice,0,0,0,0
FY1920,Amador,Delivery System Notice,0,0,0,0
FY1920,Amador,Modification Notice,0,0,0,0
FY1920,Amador,Termination Notice,0,0,0,0
FY1920,Amador,Authorization Delay Notice,0,0,0,0
FY1920,Amador,Timely Access Notice,0,0,0,0
FY1920,Amador,Financial Liability Notice,0,0,0,0
FY1920,Amador,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Amador,All,0,0,0,0
FY1920,Butte,Denial Notice,0,0,0,0
FY1920,Butte,Payment Denial Notice,0,0,0,0
FY1920,Butte,Delivery System Notice,0,0,0,0
FY1920,Butte,Modification Notice,0,0,0,0
FY1920,Butte,Termination Notice,0,0,0,0
FY1920,Butte,Authorization Delay Notice,0,0,0,0
FY1920,Butte,Timely Access Notice,3,0,0,3
FY1920,Butte,Financial Liability Notice,0,0,0,0
FY1920,Butte,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Butte,All,3,0,0,3
FY1920,Calaveras,Denial Notice,0,0,0,0
FY1920,Calaveras,Payment Denial Notice,0,0,0,0
FY1920,Calaveras,Delivery System Notice,0,0,0,0
FY1920,Calaveras,Modification Notice,0,0,0,0
FY1920,Calaveras,Termination Notice,0,0,0,0
FY1920,Calaveras,Authorization Delay Notice,0,0,0,0
FY1920,Calaveras,Timely Access Notice,0,0,0,0
FY1920,Calaveras,Financial Liability Notice,0,0,0,0
FY1920,Calaveras,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Calaveras,All,0,0,0,0
FY1920,Colusa,Denial Notice,0,0,0,0
FY1920,Colusa,Payment Denial Notice,0,0,0,0
FY1920,Colusa,Delivery System Notice,0,0,0,0
FY1920,Colusa,Modification Notice,0,0,0,0
FY1920,Colusa,Termination Notice,0,0,0,0
FY1920,Colusa,Authorization Delay Notice,0,0,0,0
FY1920,Colusa,Timely Access Notice,0,0,0,0
FY1920,Colusa,Financial Liability Notice,0,0,0,0
FY1920,Colusa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Colusa,All,0,0,0,0
FY1920,Contra Costa,Denial Notice,0,0,0,0
FY1920,Contra Costa,Payment Denial Notice,0,0,0,0
FY1920,Contra Costa,Delivery System Notice,1,0,1,0
FY1920,Contra Costa,Modification Notice,0,0,0,0
FY1920,Contra Costa,Termination Notice,0,0,0,0
FY1920,Contra Costa,Authorization Delay Notice,0,0,0,0
FY1920,Contra Costa,Timely Access Notice,0,0,0,0
FY1920,Contra Costa,Financial Liability Notice,0,0,0,0
FY1920,Contra Costa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Contra Costa,All,1,0,1,0
FY1920,Del Norte,Denial Notice,0,0,0,0
FY1920,Del Norte,Payment Denial Notice,2,0,2,0
FY1920,Del Norte,Delivery System Notice,0,0,0,0
FY1920,Del Norte,Modification Notice,0,0,0,0
FY1920,Del Norte,Termination Notice,0,0,0,0
FY1920,Del Norte,Authorization Delay Notice,0,0,0,0
FY1920,Del Norte,Timely Access Notice,0,0,0,0
FY1920,Del Norte,Financial Liability Notice,0,0,0,0
FY1920,Del Norte,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Del Norte,All,2,0,2,0
FY1920,El Dorado,Denial Notice,0,0,0,0
FY1920,El Dorado,Payment Denial Notice,0,0,0,0
FY1920,El Dorado,Delivery System Notice,0,0,0,0
FY1920,El Dorado,Modification Notice,0,0,0,0
FY1920,El Dorado,Termination Notice,0,0,0,0
FY1920,El Dorado,Authorization Delay Notice,0,0,0,0
FY1920,El Dorado,Timely Access Notice,0,0,0,0
FY1920,El Dorado,Financial Liability Notice,0,0,0,0
FY1920,El Dorado,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,El Dorado,All,0,0,0,0
FY1920,Fresno,Denial Notice,0,0,0,0
FY1920,Fresno,Payment Denial Notice,0,0,0,0
FY1920,Fresno,Delivery System Notice,0,0,0,0
FY1920,Fresno,Modification Notice,0,0,0,0
FY1920,Fresno,Termination Notice,0,0,0,0
FY1920,Fresno,Authorization Delay Notice,0,0,0,0
FY1920,Fresno,Timely Access Notice,3,0,0,3
FY1920,Fresno,Financial Liability Notice,0,0,0,0
FY1920,Fresno,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Fresno,All,3,0,0,3
FY1920,Glenn,Denial Notice,1,0,0,1
FY1920,Glenn,Payment Denial Notice,0,0,0,0
FY1920,Glenn,Delivery System Notice,0,0,0,0
FY1920,Glenn,Modification Notice,0,0,0,0
FY1920,Glenn,Termination Notice,0,0,0,0
FY1920,Glenn,Authorization Delay Notice,0,0,0,0
FY1920,Glenn,Timely Access Notice,0,0,0,0
FY1920,Glenn,Financial Liability Notice,0,0,0,0
FY1920,Glenn,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Glenn,All,1,0,0,1
FY1920,Humboldt,Denial Notice,0,0,0,0
FY1920,Humboldt,Payment Denial Notice,1,0,1,0
FY1920,Humboldt,Delivery System Notice,0,0,0,0
FY1920,Humboldt,Modification Notice,0,0,0,0
FY1920,Humboldt,Termination Notice,2,0,2,0
FY1920,Humboldt,Authorization Delay Notice,0,0,0,0
FY1920,Humboldt,Timely Access Notice,0,0,0,0
FY1920,Humboldt,Financial Liability Notice,0,0,0,0
FY1920,Humboldt,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Humboldt,All,3,0,3,0
FY1920,Imperial,Denial Notice,0,0,0,0
FY1920,Imperial,Payment Denial Notice,0,0,0,0
FY1920,Imperial,Delivery System Notice,0,0,0,0
FY1920,Imperial,Modification Notice,0,0,0,0
FY1920,Imperial,Termination Notice,27,0,2,25
FY1920,Imperial,Authorization Delay Notice,0,0,0,0
FY1920,Imperial,Timely Access Notice,0,0,0,0
FY1920,Imperial,Financial Liability Notice,0,0,0,0
FY1920,Imperial,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Imperial,All,27,0,2,25
FY1920,Inyo,Denial Notice,0,0,0,0
FY1920,Inyo,Payment Denial Notice,0,0,0,0
FY1920,Inyo,Delivery System Notice,0,0,0,0
FY1920,Inyo,Modification Notice,0,0,0,0
FY1920,Inyo,Termination Notice,0,0,0,0
FY1920,Inyo,Authorization Delay Notice,0,0,0,0
FY1920,Inyo,Timely Access Notice,0,0,0,0
FY1920,Inyo,Financial Liability Notice,0,0,0,0
FY1920,Inyo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Inyo,All,0,0,0,0
FY1920,Kern,Denial Notice,3,0,3,0
FY1920,Kern,Payment Denial Notice,0,0,0,0
FY1920,Kern,Delivery System Notice,0,0,0,0
FY1920,Kern,Modification Notice,1,0,0,1
FY1920,Kern,Termination Notice,0,0,0,0
FY1920,Kern,Authorization Delay Notice,0,0,0,0
FY1920,Kern,Timely Access Notice,0,0,0,0
FY1920,Kern,Financial Liability Notice,0,0,0,0
FY1920,Kern,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Kern,All,4,0,3,1
FY1920,Kings,Denial Notice,3,0,0,3
FY1920,Kings,Payment Denial Notice,0,0,0,0
FY1920,Kings,Delivery System Notice,1,0,1,0
FY1920,Kings,Modification Notice,1,0,1,0
FY1920,Kings,Termination Notice,3,0,3,0
FY1920,Kings,Authorization Delay Notice,0,0,0,0
FY1920,Kings,Timely Access Notice,0,0,0,0
FY1920,Kings,Financial Liability Notice,0,0,0,0
FY1920,Kings,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Kings,All,8,0,5,3
FY1920,Lake,Denial Notice,0,0,0,0
FY1920,Lake,Payment Denial Notice,0,0,0,0
FY1920,Lake,Delivery System Notice,0,0,0,0
FY1920,Lake,Modification Notice,0,0,0,0
FY1920,Lake,Termination Notice,0,0,0,0
FY1920,Lake,Authorization Delay Notice,0,0,0,0
FY1920,Lake,Timely Access Notice,0,0,0,0
FY1920,Lake,Financial Liability Notice,0,0,0,0
FY1920,Lake,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Lake,All,0,0,0,0
FY1920,Lassen,Denial Notice,0,0,0,0
FY1920,Lassen,Payment Denial Notice,0,0,0,0
FY1920,Lassen,Delivery System Notice,0,0,0,0
FY1920,Lassen,Modification Notice,0,0,0,0
FY1920,Lassen,Termination Notice,0,0,0,0
FY1920,Lassen,Authorization Delay Notice,0,0,0,0
FY1920,Lassen,Timely Access Notice,0,0,0,0
FY1920,Lassen,Financial Liability Notice,0,0,0,0
FY1920,Lassen,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Lassen,All,0,0,0,0
FY1920,Los Angeles,Denial Notice,0,0,0,0
FY1920,Los Angeles,Payment Denial Notice,910,0,601,309
FY1920,Los Angeles,Delivery System Notice,0,0,0,0
FY1920,Los Angeles,Modification Notice,0,0,0,0
FY1920,Los Angeles,Termination Notice,0,0,0,0
FY1920,Los Angeles,Authorization Delay Notice,0,0,0,0
FY1920,Los Angeles,Timely Access Notice,0,0,0,0
FY1920,Los Angeles,Financial Liability Notice,0,0,0,0
FY1920,Los Angeles,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Los Angeles,All,910,0,601,309
FY1920,Madera,Denial Notice,0,0,0,0
FY1920,Madera,Payment Denial Notice,0,0,0,0
FY1920,Madera,Delivery System Notice,0,0,0,0
FY1920,Madera,Modification Notice,0,0,0,0
FY1920,Madera,Termination Notice,0,0,0,0
FY1920,Madera,Authorization Delay Notice,0,0,0,0
FY1920,Madera,Timely Access Notice,0,0,0,0
FY1920,Madera,Financial Liability Notice,0,0,0,0
FY1920,Madera,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Madera,All,0,0,0,0
FY1920,Marin,Denial Notice,2,0,1,1
FY1920,Marin,Payment Denial Notice,0,0,0,0
FY1920,Marin,Delivery System Notice,0,0,0,0
FY1920,Marin,Modification Notice,0,0,0,0
FY1920,Marin,Termination Notice,0,0,0,0
FY1920,Marin,Authorization Delay Notice,0,0,0,0
FY1920,Marin,Timely Access Notice,0,0,0,0
FY1920,Marin,Financial Liability Notice,0,0,0,0
FY1920,Marin,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Marin,All,2,0,1,1
FY1920,Mariposa,Denial Notice,0,0,0,0
FY1920,Mariposa,Payment Denial Notice,0,0,0,0
FY1920,Mariposa,Delivery System Notice,0,0,0,0
FY1920,Mariposa,Modification Notice,0,0,0,0
FY1920,Mariposa,Termination Notice,0,0,0,0
FY1920,Mariposa,Authorization Delay Notice,0,0,0,0
FY1920,Mariposa,Timely Access Notice,0,0,0,0
FY1920,Mariposa,Financial Liability Notice,0,0,0,0
FY1920,Mariposa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Mariposa,All,0,0,0,0
FY1920,Mendocino,Denial Notice,0,0,0,0
FY1920,Mendocino,Payment Denial Notice,0,0,0,0
FY1920,Mendocino,Delivery System Notice,0,0,0,0
FY1920,Mendocino,Modification Notice,0,0,0,0
FY1920,Mendocino,Termination Notice,0,0,0,0
FY1920,Mendocino,Authorization Delay Notice,0,0,0,0
FY1920,Mendocino,Timely Access Notice,0,0,0,0
FY1920,Mendocino,Financial Liability Notice,0,0,0,0
FY1920,Mendocino,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Mendocino,All,0,0,0,0
FY1920,Merced,Denial Notice,0,0,0,0
FY1920,Merced,Payment Denial Notice,125,0,3,122
FY1920,Merced,Delivery System Notice,1,0,0,1
FY1920,Merced,Modification Notice,0,0,0,0
FY1920,Merced,Termination Notice,0,0,0,0
FY1920,Merced,Authorization Delay Notice,0,0,0,0
FY1920,Merced,Timely Access Notice,0,0,0,0
FY1920,Merced,Financial Liability Notice,0,0,0,0
FY1920,Merced,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Merced,All,126,0,3,123
FY1920,Modoc,Denial Notice,0,0,0,0
FY1920,Modoc,Payment Denial Notice,0,0,0,0
FY1920,Modoc,Delivery System Notice,0,0,0,0
FY1920,Modoc,Modification Notice,0,0,0,0
FY1920,Modoc,Termination Notice,0,0,0,0
FY1920,Modoc,Authorization Delay Notice,0,0,0,0
FY1920,Modoc,Timely Access Notice,0,0,0,0
FY1920,Modoc,Financial Liability Notice,0,0,0,0
FY1920,Modoc,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Modoc,All,0,0,0,0
FY1920,Mono,Denial Notice,0,0,0,0
FY1920,Mono,Payment Denial Notice,0,0,0,0
FY1920,Mono,Delivery System Notice,0,0,0,0
FY1920,Mono,Modification Notice,0,0,0,0
FY1920,Mono,Termination Notice,0,0,0,0
FY1920,Mono,Authorization Delay Notice,0,0,0,0
FY1920,Mono,Timely Access Notice,0,0,0,0
FY1920,Mono,Financial Liability Notice,0,0,0,0
FY1920,Mono,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Mono,All,0,0,0,0
FY1920,Monterey,Denial Notice,0,0,0,0
FY1920,Monterey,Payment Denial Notice,120,10,29,81
FY1920,Monterey,Delivery System Notice,1,0,0,1
FY1920,Monterey,Modification Notice,0,0,0,0
FY1920,Monterey,Termination Notice,0,0,0,0
FY1920,Monterey,Authorization Delay Notice,0,0,0,0
FY1920,Monterey,Timely Access Notice,0,0,0,0
FY1920,Monterey,Financial Liability Notice,0,0,0,0
FY1920,Monterey,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Monterey,All,121,10,29,82
FY1920,Napa,Denial Notice,0,0,0,0
FY1920,Napa,Payment Denial Notice,0,0,0,0
FY1920,Napa,Delivery System Notice,0,0,0,0
FY1920,Napa,Modification Notice,0,0,0,0
FY1920,Napa,Termination Notice,0,0,0,0
FY1920,Napa,Authorization Delay Notice,0,0,0,0
FY1920,Napa,Timely Access Notice,0,0,0,0
FY1920,Napa,Financial Liability Notice,0,0,0,0
FY1920,Napa,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Napa,All,0,0,0,0
FY1920,Nevada,Denial Notice,0,0,0,0
FY1920,Nevada,Payment Denial Notice,0,0,0,0
FY1920,Nevada,Delivery System Notice,0,0,0,0
FY1920,Nevada,Modification Notice,0,0,0,0
FY1920,Nevada,Termination Notice,0,0,0,0
FY1920,Nevada,Authorization Delay Notice,0,0,0,0
FY1920,Nevada,Timely Access Notice,0,0,0,0
FY1920,Nevada,Financial Liability Notice,0,0,0,0
FY1920,Nevada,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Nevada,All,0,0,0,0
FY1920,Orange,Denial Notice,0,0,0,0
FY1920,Orange,Payment Denial Notice,46,0,39,7
FY1920,Orange,Delivery System Notice,9,0,5,4
FY1920,Orange,Modification Notice,0,0,0,0
FY1920,Orange,Termination Notice,12,1,2,9
FY1920,Orange,Authorization Delay Notice,0,0,0,0
FY1920,Orange,Timely Access Notice,0,0,0,0
FY1920,Orange,Financial Liability Notice,0,0,0,0
FY1920,Orange,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Orange,All,67,1,46,20
FY1920,Placer-Sierra,Denial Notice,0,0,0,0
FY1920,Placer-Sierra,Payment Denial Notice,0,0,0,0
FY1920,Placer-Sierra,Delivery System Notice,0,0,0,0
FY1920,Placer-Sierra,Modification Notice,0,0,0,0
FY1920,Placer-Sierra,Termination Notice,0,0,0,0
FY1920,Placer-Sierra,Authorization Delay Notice,0,0,0,0
FY1920,Placer-Sierra,Timely Access Notice,0,0,0,0
FY1920,Placer-Sierra,Financial Liability Notice,0,0,0,0
FY1920,Placer-Sierra,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Placer-Sierra,All,0,0,0,0
FY1920,Plumas,Denial Notice,0,0,0,0
FY1920,Plumas,Payment Denial Notice,0,0,0,0
FY1920,Plumas,Delivery System Notice,7,0,5,2
FY1920,Plumas,Modification Notice,0,0,0,0
FY1920,Plumas,Termination Notice,0,0,0,0
FY1920,Plumas,Authorization Delay Notice,0,0,0,0
FY1920,Plumas,Timely Access Notice,0,0,0,0
FY1920,Plumas,Financial Liability Notice,0,0,0,0
FY1920,Plumas,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Plumas,All,7,0,5,2
FY1920,Riverside,Denial Notice,4,0,2,2
FY1920,Riverside,Payment Denial Notice,0,0,0,0
FY1920,Riverside,Delivery System Notice,0,0,0,0
FY1920,Riverside,Modification Notice,2,0,1,1
FY1920,Riverside,Termination Notice,1,0,0,1
FY1920,Riverside,Authorization Delay Notice,0,0,0,0
FY1920,Riverside,Timely Access Notice,0,0,0,0
FY1920,Riverside,Financial Liability Notice,0,0,0,0
FY1920,Riverside,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Riverside,All,7,0,3,4
FY1920,Sacramento,Denial Notice,48,0,46,2
FY1920,Sacramento,Payment Denial Notice,0,0,0,0
FY1920,Sacramento,Delivery System Notice,0,0,0,0
FY1920,Sacramento,Modification Notice,0,0,0,0
FY1920,Sacramento,Termination Notice,0,0,0,0
FY1920,Sacramento,Authorization Delay Notice,0,0,0,0
FY1920,Sacramento,Timely Access Notice,0,0,0,0
FY1920,Sacramento,Financial Liability Notice,0,0,0,0
FY1920,Sacramento,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Sacramento,All,48,0,46,2
FY1920,San Benito,Denial Notice,1,0,0,1
FY1920,San Benito,Payment Denial Notice,0,0,0,0
FY1920,San Benito,Delivery System Notice,0,0,0,0
FY1920,San Benito,Modification Notice,0,0,0,0
FY1920,San Benito,Termination Notice,0,0,0,0
FY1920,San Benito,Authorization Delay Notice,0,0,0,0
FY1920,San Benito,Timely Access Notice,0,0,0,0
FY1920,San Benito,Financial Liability Notice,0,0,0,0
FY1920,San Benito,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,San Benito,All,1,0,0,1
FY1920,San Bernardino,Denial Notice,0,0,0,0
FY1920,San Bernardino,Payment Denial Notice,0,0,0,0
FY1920,San Bernardino,Delivery System Notice,0,0,0,0
FY1920,San Bernardino,Modification Notice,0,0,0,0
FY1920,San Bernardino,Termination Notice,8,0,6,2
FY1920,San Bernardino,Authorization Delay Notice,0,0,0,0
FY1920,San Bernardino,Timely Access Notice,0,0,0,0
FY1920,San Bernardino,Financial Liability Notice,0,0,0,0
FY1920,San Bernardino,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,San Bernardino,All,8,0,6,2
FY1920,San Diego,Denial Notice,0,0,0,0
FY1920,San Diego,Payment Denial Notice,0,0,0,0
FY1920,San Diego,Delivery System Notice,0,0,0,0
FY1920,San Diego,Modification Notice,0,0,0,0
FY1920,San Diego,Termination Notice,4,0,3,1
FY1920,San Diego,Authorization Delay Notice,0,0,0,0
FY1920,San Diego,Timely Access Notice,1,0,0,1
FY1920,San Diego,Financial Liability Notice,0,0,0,0
FY1920,San Diego,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,San Diego,All,5,0,3,2
FY1920,San Francisco,Denial Notice,0,0,0,0
FY1920,San Francisco,Payment Denial Notice,0,0,0,0
FY1920,San Francisco,Delivery System Notice,0,0,0,0
FY1920,San Francisco,Modification Notice,0,0,0,0
FY1920,San Francisco,Termination Notice,1,0,1,0
FY1920,San Francisco,Authorization Delay Notice,0,0,0,0
FY1920,San Francisco,Timely Access Notice,0,0,0,0
FY1920,San Francisco,Financial Liability Notice,0,0,0,0
FY1920,San Francisco,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,San Francisco,All,1,0,1,0
FY1920,San Joaquin,Denial Notice,0,0,0,0
FY1920,San Joaquin,Payment Denial Notice,0,0,0,0
FY1920,San Joaquin,Delivery System Notice,0,0,0,0
FY1920,San Joaquin,Modification Notice,0,0,0,0
FY1920,San Joaquin,Termination Notice,0,0,0,0
FY1920,San Joaquin,Authorization Delay Notice,0,0,0,0
FY1920,San Joaquin,Timely Access Notice,0,0,0,0
FY1920,San Joaquin,Financial Liability Notice,0,0,0,0
FY1920,San Joaquin,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,San Joaquin,All,0,0,0,0
FY1920,San Luis Obispo,Denial Notice,9,1,1,7
FY1920,San Luis Obispo,Payment Denial Notice,1,0,1,0
FY1920,San Luis Obispo,Delivery System Notice,0,0,0,0
FY1920,San Luis Obispo,Modification Notice,0,0,0,0
FY1920,San Luis Obispo,Termination Notice,0,0,0,0
FY1920,San Luis Obispo,Authorization Delay Notice,0,0,0,0
FY1920,San Luis Obispo,Timely Access Notice,0,0,0,0
FY1920,San Luis Obispo,Financial Liability Notice,0,0,0,0
FY1920,San Luis Obispo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,San Luis Obispo,All,10,1,2,7
FY1920,San Mateo,Denial Notice,0,0,0,0
FY1920,San Mateo,Payment Denial Notice,2,0,1,1
FY1920,San Mateo,Delivery System Notice,0,0,0,0
FY1920,San Mateo,Modification Notice,0,0,0,0
FY1920,San Mateo,Termination Notice,0,0,0,0
FY1920,San Mateo,Authorization Delay Notice,0,0,0,0
FY1920,San Mateo,Timely Access Notice,0,0,0,0
FY1920,San Mateo,Financial Liability Notice,0,0,0,0
FY1920,San Mateo,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,San Mateo,All,2,0,1,1
FY1920,Santa Barbara,Denial Notice,2,0,2,0
FY1920,Santa Barbara,Payment Denial Notice,0,0,0,0
FY1920,Santa Barbara,Delivery System Notice,0,0,0,0
FY1920,Santa Barbara,Modification Notice,0,0,0,0
FY1920,Santa Barbara,Termination Notice,2,0,2,0
FY1920,Santa Barbara,Authorization Delay Notice,0,0,0,0
FY1920,Santa Barbara,Timely Access Notice,0,0,0,0
FY1920,Santa Barbara,Financial Liability Notice,0,0,0,0
FY1920,Santa Barbara,Grievance and Appeal Timely Resolution Notice,0,0,0,0
FY1920,Santa Barbara,All,4,0,4,0
FY1920,Santa Clara,Denial Notice,0,0,0,0
FY1920,Santa Clara,Payment Denial Notice,0,0,0,0
FY1920,Santa Clara,Delivery System Notice,0,0,0,0
FY1920,Santa Clara,Modification Notice,0,0,0,0
FY1920,Santa Clara,Termination Notice,0,0,0,0
