Health Care Delivery System,Health Care Delivery System Id,Fiscal Year,Demographic Group,MH Service Description,Units,Amount MH Service Received,Amount MH Service Received Suppression Identifier,Medi-Cal Delivery System,Population Category,Demographic Category
Fresno,10,2022/23,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,4212.817321,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,29,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,9118.05,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,314.4155172,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,ICC,MEMBER_COUNT,32,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,ICC,TOTAL_MINUTES,14335.35,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,447.9796875,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,IHBS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,IHBS,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,51,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,55060.05,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,1079.608824,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,SDMC_TOTAL,MEMBER_COUNT,53,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,332424.99,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,6272.169623,,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,34,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,10748.145,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,316.1219118,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,FFS_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,FFS_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,ICC,MEMBER_COUNT,35,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,ICC,TOTAL_MINUTES,19750.8,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,564.3085714,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,IHBS,MEMBER_COUNT,19,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,IHBS,TOTAL_MINUTES,11102.1,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,584.3210526,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,13,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,2813.055,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,216.3888462,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,52,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,77449.005,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,1489.403942,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,SDMC_TOTAL,MEMBER_COUNT,55,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,727754.95,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,13231.90818,,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,19,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,9489.45,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,499.4447368,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,FFS_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,FFS_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,ICC,MEMBER_COUNT,25,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,ICC,TOTAL_MINUTES,13068,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,522.72,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,IHBS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,IHBS,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,48,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,71615.19,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,1491.983125,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,SDMC_TOTAL,MEMBER_COUNT,49,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,462952.35,,SMHS,Open Child Welfare,0 All
Glenn,11,2021/22,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,9448.007143,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,16,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,8003.25,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,500.203125,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,FFS_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,FFS_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,ICC,MEMBER_COUNT,22,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,ICC,TOTAL_MINUTES,16601.25,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,754.6022727,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,IHBS,MEMBER_COUNT,14,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,IHBS,TOTAL_MINUTES,6629.4,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,473.5285714,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,14,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,4261.35,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,304.3821429,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,31,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,50916.15,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,1642.456452,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,SDMC_TOTAL,MEMBER_COUNT,35,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,421988.26,,SMHS,Open Child Welfare,0 All
Glenn,11,2022/23,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,12056.80743,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,125,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,94486.2,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,755.8896,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,37,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,23371.965,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,631.6747297,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,17,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,540,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,31.76470588,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,FFS_INPATIENT,MEMBER_COUNT,14,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,FFS_INPATIENT,TOTAL_DAYS,295,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,21.07142857,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,FULL_DAY_TX_INTENSIVE,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,ICC,MEMBER_COUNT,60,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,ICC,TOTAL_MINUTES,67593,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,1126.55,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,IHBS,MEMBER_COUNT,40,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,IHBS,TOTAL_MINUTES,305686.05,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,7642.15125,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,94,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,53112.255,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,565.0239894,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,301,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,660428.505,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,2194.114635,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,SDMC_HOSPITAL_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,SDMC_TOTAL,MEMBER_COUNT,306,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,4707666.39,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,15384.53069,,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2019/20,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,95,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,38888.715,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,409.3548947,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,30,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,23361.72,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,778.724,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,FFS_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,FFS_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,FULL_DAY_TX_INTENSIVE,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,FULL_DAY_TX_INTENSIVE,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,ICC,MEMBER_COUNT,58,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,ICC,TOTAL_MINUTES,69759.45,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,1202.749138,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,IHBS,MEMBER_COUNT,28,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,IHBS,TOTAL_MINUTES,86395.35,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,3085.548214,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,74,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,MINUTES,44472.6,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,MEDICATION_SUPPORT_SVCS,TOTAL_MINUTES_PER_MEMBER,600.9810811,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,MENTAL_HEALTH_SVCS,MEMBER_COUNT,242,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES,540107.415,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,MENTAL_HEALTH_SVCS,TOTAL_MINUTES_PER_MEMBER,2231.848822,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,PSYCHIATRIC_HEALTH_FACILITY,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,SDMC_HOSPITAL_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,SDMC_HOSPITAL_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,SDMC_TOTAL,MEMBER_COUNT,244,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS,3610387.49,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,SDMC_TOTAL,TOTAL_DOLLARS_PER_MEMBER,14796.67004,,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2020/21,Z1 All,THERAPEUTIC_BEHAVIORAL_SVCS,TOTAL_MINUTES_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,MEMBER_COUNT,59,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES,41272.575,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CASE_MANAGEMENT/BROKERAGE,TOTAL_MINUTES_PER_MEMBER,699.5351695,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CRISIS_INTERVENTION,MEMBER_COUNT,29,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES,12699.435,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CRISIS_INTERVENTION,TOTAL_MINUTES_PER_MEMBER,437.9115517,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CRISIS_STABILIZATION,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,CRISIS_STABILIZATION,TOTAL_HOURS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,FFS_INPATIENT,MEMBER_COUNT,,1,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,FFS_INPATIENT,TOTAL_DAYS,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,FFS_INPATIENT,TOTAL_DAYS_PER_MEMBER,,2,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,ICC,MEMBER_COUNT,42,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,ICC,TOTAL_MINUTES,38032.185,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,ICC,TOTAL_MINUTES_PER_MEMBER,905.5282143,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,IHBS,MEMBER_COUNT,17,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,IHBS,TOTAL_MINUTES,126007.95,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,IHBS,TOTAL_MINUTES_PER_MEMBER,7412.232353,,SMHS,Open Child Welfare,0 All
Humboldt,12,2021/22,Z1 All,MEDICATION_SUPPORT_SVCS,MEMBER_COUNT,58,,SMHS,Open Child Welfare,0 All
